confidence,decision,description,full_address,google_first_review_date,google_first_seen,google_place_id,name,opening_date,osm_first_added,osm_last_edit,osm_last_edit_age_days,quality_score,reasons,source,tags
High,Remove,burger cuisine,"Mannerheimintie 19, 00250 Helsinki, FI",,,,Hesburger,,,2025-10-05T06:21:05Z,123,65,keyword:hesburger;description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;takeaway:yes
High,Remove,burger cuisine,"Vuotie 45, 00980 Helsinki, FI",,,,Hesburger,,,2025-08-13T15:44:15Z,176,65,keyword:hesburger;description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;diet:vegan:yes;diet:vegetarian:yes;fast_food;takeaway:yes
High,Remove,burger cuisine,"Messuaukio 1, 00520 Helsinki, FI",,,,Hesburger,,,2025-09-26T17:27:27Z,132,65,keyword:hesburger;description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:no;takeaway:yes
High,Remove,burger cuisine,"Itäkatu 7, 00930 Helsinki",,,,Hesburger,,,2025-08-09T12:58:56Z,180,65,keyword:hesburger;description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;takeaway:yes
Low,Needs more information,pizza cuisine,,,,,Töölön Pizzapalvelu,,,2025-12-08T09:35:20Z,59,75,missing_address;description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food;outdoor_seating:yes
Low,Needs editing,,"Aleksanterinkatu 26, 00170 Helsinki, FI",,,,Café Engel,,,2026-02-04T07:21:29Z,1,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no
Low,Needs editing,,"Raumantie 1, 00350 Helsinki",,,,Fazer Café,,,2025-12-25T11:23:23Z,42,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no
Low,Needs editing,,"Eteläranta 18, 00130 Helsinki, FI",,,,Block by Dylan,,,2025-12-25T11:26:28Z,42,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant
Low,Needs editing,chinese cuisine,"Pohjoinen Makasiinikatu 1, 00130 Helsinki, FI",,,,Dragon Phoenix,,,2025-10-19T09:23:46Z,109,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,coffee_shop cuisine,"Helsinki, FI",,,,Joe & The Juice,,,2025-09-19T15:19:31Z,139,90,description_too_short,OpenStreetMap,cafe;confidence:medium;cuisine:coffee;cuisine:shop;takeaway:yes
Low,Needs editing,chinese cuisine,"Lapinlahdenkatu 29, 00180 Helsinki, FI",,,,Singapore,,,2025-08-20T07:32:23Z,169,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,mexican cuisine,"Lapinlahdenkatu 25, 00180 Helsinki, FI",,,,Tacoya,,,2025-08-20T07:32:23Z,169,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:mexican;restaurant
Low,Needs editing,nepalese cuisine,"Kajaaninkatu 2, 00510 Helsinki, FI",,,,Yarsa,,,2025-12-26T16:11:38Z,41,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:nepalese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Agnes Sjöbergin katu 2, 00790 Helsinki",,,,Unicafe,,,2025-12-16T14:50:50Z,51,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant
Low,Needs editing,steak_house cuisine,"Porvoonkatu 23, 00510 Helsinki, FI",,,,Chill & Grill,,,2025-12-26T16:12:52Z,41,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:house;cuisine:steak;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Laivurinkatu 10, 00150 Helsinki, FI",,,,The Old Skiffer,,,2025-09-13T12:08:26Z,145,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant
Low,Needs editing,,"Eteläesplanadi 14, 00130 Helsinki, FI",,,,Ravintola Savoy,,,2025-10-17T16:22:03Z,111,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,pizza cuisine,"00190 Helsinki, FI",,,,Pizzeria Nikolai,,,2025-08-11T15:11:12Z,178,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;outdoor_seating:yes;restaurant
Low,Needs more information,,,,,,Antin Kaffeliiteri,,,2025-10-09T08:32:42Z,119,75,missing_address;missing_description,OpenStreetMap,cafe;confidence:medium;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes
Low,Needs editing,chinese cuisine,"Helsinki, FI",,,,Hua Fu Jiu Lou,,,2025-10-04T11:39:18Z,124,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,Lounasbuffet arkisin klo 11:00 - 15:00,"Porthaninkatu 4, 00530 Helsinki, FI",,,,Ravintola Onda,,,2025-08-09T08:53:30Z,180,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:buffet;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant
Low,Needs editing,"pizza, italian cuisine","Sofiankatu 4, 00170 Helsinki, FI",,,,Pizzeria Via Tribunali,,,2025-11-28T18:20:32Z,69,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:italian;cuisine:pizza;diet:gluten_free:no;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
Low,Needs editing,burger cuisine,"Jaalaranta 5, 00180 Helsinki",,,,Burgers & Wine,,,2025-12-19T07:33:25Z,48,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;outdoor_seating:yes;restaurant
Low,Needs editing,italian cuisine,"Tehtaankatu 38, Helsinki, FI",,,,Osteria dei Mancini,,,2025-09-13T05:40:27Z,145,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:italian;restaurant
Low,Needs editing,,"Kaivokatu 1, 00100 Helsinki",,,,Kellotorni,,,2025-11-27T10:43:54Z,70,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,,Kasarmikatu 42,,,,Picnic,,,2025-10-17T05:25:35Z,111,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes
Low,Needs editing,,"Helsinki, FI",,,,Robert’s Coffee Jugend,,,2025-10-19T06:27:35Z,109,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no
Low,Needs editing,,"Pohjoisesplanadi 2, 00130 Helsinki",,,,Ravintola Teatteri,,,2025-10-17T17:30:21Z,111,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,steak_house cuisine,"Eteläesplanadi, 00100 Helsinki, FI",,,,Manhattan Steak House,,,2026-01-09T21:51:21Z,27,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:house;cuisine:steak;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Eteläesplanadi 20, 00130 Helsinki, FI",,,,Ravintola Bronda,,,2025-10-17T19:51:39Z,111,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant
Low,Needs more information,regional cuisine,,,,,Salutorget,,,2025-08-14T09:10:33Z,175,75,missing_address;description_too_short,OpenStreetMap,confidence:medium;cuisine:regional;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,sushi cuisine,"Fredrikinkatu 56, 00100 Helsinki, FI",,,,Konnichiwa,,,2025-09-07T15:05:52Z,151,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:sushi;diet:halal:no;diet:kosher:no;outdoor_seating:no;restaurant
Low,Needs editing,"japanese, sushi cuisine","Korkeavuorenkatu 47, 00130 Helsinki, FI",,,,Fuji Biyori,,,2025-10-17T16:18:06Z,111,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:japanese;cuisine:sushi;outdoor_seating:no;restaurant
Low,Needs editing,,"Pohjoisesplanadi 33, 00130 Helsinki, FI",,,,Café Strindberg,,,2025-09-28T12:31:03Z,130,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes
Low,Needs editing,,"Kluuvikatu 3, 00100 Helsinki, FI",,,,Karl Fazer Café,,,2025-12-25T11:14:14Z,42,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes
Low,Needs editing,sushi cuisine,"Aleksis Kiven katu 58, 00510 Helsinki, FI",,,,Bambu Sushi Konepaja,,,2025-12-21T15:11:16Z,46,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:sushi;restaurant
Low,Needs editing,,"Castréninkatu 3, 00530 Helsinki, FI",,,,Toveri,,,2025-12-28T13:55:22Z,39,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,french cuisine,"Pieni Roobertinkatu 2, 00130 Helsinki, FI",,,,Ravintola Pastis,,,2025-10-17T20:02:51Z,111,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:french;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant
Low,Needs editing,kebab cuisine,"Klaavuntie 11, 00910 Helsinki",,,,Puotilan pizza & kebab,,,2025-11-28T07:20:51Z,69,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:kebab;diet:halal:no;diet:kosher:no;fast_food
Low,Needs editing,pizza cuisine,"Vuorimiehenkatu 35, 00150 Helsinki, FI",,,,Alfons Pizza,,,2025-09-13T12:08:20Z,145,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant;takeaway:yes
Low,Needs editing,,"Vuorimiehenkatu 18, 00150 Helsinki, FI",,,,Aperitivo by Alfons,,,2025-09-13T12:08:23Z,145,90,missing_description,OpenStreetMap,confidence:medium;outdoor_seating:yes;restaurant
Low,Needs editing,Nepalese restaurant,"Maistraatinportti 4, 00240 Helsinki, FI",,,,Akhanda Food And Bar,,,2025-11-10T18:46:03Z,87,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:nepalese;diet:chicken:yes;diet:fish:yes;diet:lactose_free:yes;diet:vegetarian:yes;restaurant;takeaway:yes
Low,Needs editing,"pizza, kebab cuisine","Asemapäällikönkatu 3, 00520 Helsinki, FI",,,,Pasila Ravintola Kuningas,,,2025-11-09T17:59:26Z,88,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:kebab;cuisine:pizza;delivery:no;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant
Low,Needs more information,"burger, chicken, wings cuisine",,,,,Boneless,,,2025-09-07T12:20:42Z,151,75,missing_address;description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;cuisine:chicken;cuisine:wings;fast_food
Low,Needs editing,,"A.I. Virtasen aukio 1, 00560 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
Low,Needs editing,"lunch, pizza cuisine","Rapakivenkuja 9, 00710 Helsinki",,,,Food Chef,,,2025-08-11T07:31:38Z,178,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:lunch;cuisine:pizza;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant;takeaway:yes
Low,Needs editing,chinese cuisine,"Meri-Rastilan tie 3, 00980 Helsinki",,,,Southland,,,2025-11-09T20:54:18Z,88,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:chinese;delivery:no;diet:halal:no;diet:kosher:no;restaurant;takeaway:yes
Low,Needs editing,sushi cuisine,"Salomonkatu 3, 00100 Helsinki, FI",,,,Itsudemo,,,2025-11-09T07:11:53Z,88,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:sushi;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,"chicken, sandwich cuisine",Kustaankatu 7,,,,Hot Chick,,,2025-11-27T10:29:45Z,70,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:chicken;cuisine:sandwich;fast_food
Low,Needs editing,mediterranean cuisine,"Hitsaajankatu 22, 00810 Helsinki",,,,Satama Bar & Bistro,,,2025-08-21T19:15:06Z,168,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:mediterranean;restaurant
Low,Needs editing,pizza cuisine,Laajalahdentie 17,,,,Sotto Pizzeria,,,2025-12-11T14:49:34Z,56,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;restaurant
Low,Needs editing,fusion cuisine,"Kolmas linja 6, 00530 Helsinki, FI",,,,Twenty four social club,,,2025-12-01T14:54:37Z,66,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:fusion;restaurant
Low,Needs editing,,"Haapaniemenkatu 6, 00530 Helsinki",,,,Ravintola Kookos,,,2025-09-12T07:54:17Z,146,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
Low,Needs editing,,"Yrjö-Koskisen katu 3, 00170 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
Low,Needs editing,,"Siltavuorenpenger 5, 00170 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
Low,Needs editing,,"Unioninkatu 38, 00170 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
Low,Needs editing,,"Fabianinkatu 39, 00100 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:no;restaurant
Low,Needs more information,,,,,,Unicafe,,,2025-12-15T06:59:06Z,52,75,missing_address;missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
Low,Needs editing,,"Pietari Kalmin katu 5, 00560 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
Low,Needs more information,,,,,,Soitin,,,2025-09-05T06:54:21Z,153,75,missing_address;missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,,"Tamminiementie 8, 00250 Helsinki",,,,Meilahden Kartanon Kahvila,,,2025-10-22T05:27:44Z,106,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes
Low,Needs editing,,"Teollisuuskatu 21, 00510 Helsinki",,,,Onnekas Kissa,,,2026-01-14T15:55:47Z,22,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,,"Karhusaarentie 34, 00890 Helsinki",,,,Kahvila Pikku Karhu,,,2025-10-06T23:45:06Z,122,90,missing_description,OpenStreetMap,cafe;confidence:medium;outdoor_seating:yes
Low,Needs editing,,"Hämeentie 2, 00530 Helsinki, FI",,,,Birdie Numnum,,,2025-09-12T07:39:08Z,146,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,indian cuisine,"Postikuja 2, 00100 Helsinki, FI",,,,Indie Bistro & Bar,,,2025-09-03T04:39:39Z,155,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:indian;outdoor_seating:yes;restaurant
Low,Needs editing,,"Viikinkaari 11, 00790 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant
Low,Needs editing,,"Asema-aukio 2, 00100 Helsinki, FI",,,,Coffee House,,,2025-08-28T15:37:02Z,161,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:limited
Low,Needs editing,,"Rautatieasema, Kaivokatu 1, 00100 Helsinki, FI",,,,Taulu,,,2025-12-08T12:20:50Z,59,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,burger cuisine,"Mikonkatu 8, 00100 Helsinki, FI",,,,Friends & Brgrs Helsinki,,,2025-10-30T13:08:29Z,98,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:no
Low,Needs editing,regional cuisine,"Mannerheimintie 3, 00100 Helsinki, FI",,,,Zetor,,,2025-12-24T15:01:56Z,43,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:regional;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,00150 Helsinki,,,,Ravintola Saari,,,2025-11-03T09:09:33Z,94,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Helsinki, FI",,,,Uunisaari,,,2025-08-08T16:39:44Z,181,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no
Low,Needs editing,italian cuisine,"Mikonkatu, 00100 Helsinki, FI",,,,Vapiano,,,2025-09-30T14:40:08Z,128,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:italian;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant
